File;Device_ID;season;diel;habitat;cluster;technophony;geophony;anthropophony;biophony;waterbirds;birdsong;other;avian;insect;amphibian;dominance
2025-07-03T04_23_21.761Z;44e6e23b;summer;day;Wetland;Loenderveen;self-noise;wind;0;songbirds;0;1;0;1;0;0;biophony
2025-07-09T23_21_03.310Z;44e6e23b;summer;night;Wetland;Loenderveen;self-noise;0;0;insects;0;0;0;0;1;0;biophony
2025-07-24T20_17_26.965Z;44e6e23b;summer;dusk;Wetland;Loenderveen;self-noise;0;0;insects;0;0;0;0;1;0;biophony
2025-07-26T21_24_37.196Z;44e6e23b;summer;dusk;Wetland;Loenderveen;self-noise;0;0;insects;0;0;0;0;1;0;biophony
2025-08-02T02_37_53.301Z;44e6e23b;summer;dawn;Wetland;Loenderveen;self-noise;wind;0;0;0;0;0;0;0;0;technophony
2025-08-03T10_06_42.939Z;44e6e23b;summer;day;Wetland;Loenderveen;self-noise;wind, reed;0;birdcall;0;0;1;1;0;0;technophony
2025-08-13T04_17_36.901Z;44e6e23b;summer;dawn;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-08-15T19_45_35.303Z;44e6e23b;summer;dusk;Wetland;Loenderveen;self-noise;wind;0;insects, ducks;1;0;0;1;1;0;geophony
2025-08-18T02_41_14.165Z;44e6e23b;summer;night;Wetland;Loenderveen;self-noise;wind;0;0;0;0;0;0;0;0;technophony
2025-08-26T17_59_10.362Z;44e6e23b;summer;day;Wetland;Loenderveen;self-noise;wind;0;insect, gulls, songbird;1;1;0;1;1;0;biophony
2025-08-30T04_22_02.541Z;44e6e23b;summer;dawn;Wetland;Loenderveen;self-noise;wind;0;ducks, songbirds;1;1;0;1;0;0;technophony
2025-09-16T04_02_15.214Z;44e6e23b;summer;night;Wetland;Loenderveen;self-noise;wind, reed;0;0;0;0;0;0;0;0;geophony
2025-06-17T02_50_04.231Z;44e6e23b;spring;dawn;Wetland;Loenderveen;self-noise;0;0;songbirds;0;1;0;1;0;0;biophony
2025-04-15T08_52_56.595Z;44e6e23b;spring;day;Wetland;Loenderveen;self-noise;wind;car;songbird;0;1;0;1;0;0;geophony
2025-05-25T20_07_54.294Z;44e6e23b;spring;dusk;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-03-26T23_21_57.760Z;44e6e23b;spring;night;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-07-30T03_30_49.930Z;44e6e23b;summer;dawn;Wetland;Loenderveen;self-noise;0;0;distant birdcall;0;0;1;1;0;0;technophony
2025-07-24T11_43_59.947Z;44e6e23b;summer;day;Wetland;Loenderveen;self-noise;0;airplane;0;0;0;0;0;0;0;technophony
2025-07-08T21_09_19.390Z;44e6e23b;summer;dusk;Wetland;Loenderveen;self-noise;0;0;insect;0;0;0;0;1;0;biophony
2025-08-01T22_35_05.580Z;44e6e23b;summer;night;Wetland;Loenderveen;self-noise;0;0;crickets;0;0;0;0;1;0;biophony
2025-03-27T03_27_50.243Z;cfc291d3;spring;night;Wetland;Loenderveen;self-noise;0;0;songbird;0;1;0;1;0;0;biophony
2025-03-28T21_00_45.134Z;cfc291d3;spring;night;Wetland;Loenderveen;self-noise, high pitch;0;airplane;geese;1;0;0;1;0;0;biophony
